t CPU GPU
139746.825505058 0 0
139746.830588175 0 0
139746.835717693 0 0
139746.840807722 0 0
139746.845890680 0 0
139746.850996293 0 0
139746.856108467 0 0
139746.861195008 0 0
139746.866288910 0 0
139746.871376539 0 0
139746.876467785 0 0
139746.881556854 0 0
139746.886644708 0 0
139746.891787025 0 0
139746.896879071 0 0
139746.901964652 0 0
139746.907050906 0 0
139746.912137447 0 0
139746.917226645 0 0
139746.922312386 0 0
139746.927399152 0 0
139746.932485277 0 0
139746.937567051 0 0
139746.942767352 0 0
139746.947856742 0 0
139746.952928627 0 0
139746.958015489 0 0
139746.963100654 0 0
139746.968187324 0 0
139746.973272521 0 0
139746.978354999 0 0
139746.983438564 0 0
139746.988588754 0 0
139746.993675295 0 0
139746.998761645 0 0
139747.3850490 0 0
139747.8943752 0 0
139747.14032725 0 0
139747.19126851 0 0
139747.24217200 0 0
139747.29308030 0 0
139747.34404043 0 0
139747.39490233 0 0
139747.44576582 0 0
139747.49660947 0 0
139747.54747649 0 0
139747.59834862 0 0
139747.64920060 0 0
139747.70003913 0 0
139747.75088855 0 0
139747.80186244 0 0
139747.85359186 0 0
139747.90446751 0 0
139747.95530989 0 0
139747.100623578 0 0
139747.105708904 0 0
139747.110796885 0 0
139747.115885315 0 0
139747.120973808 0 0
139747.126062782 0 0
139747.131146635 0 0
139747.136233081 0 0
139747.141319846 0 0
139747.146402452 0 0
139747.151488033 0 0
139747.156576399 0 0
139747.161661212 0 0
139747.166745001 0 0
139747.171834583 0 0
139747.176918180 0 0
139747.182003250 0 0
139747.187087231 0 0
139747.192212333 0 0
139747.197297946 0 0
139747.202378632 0 0
139747.207463221 0 0
139747.212549987 0 0
139747.217634192 0 0
139747.222718238 0 0
139747.227804523 0 0
139747.232896601 0 0
139747.237985478 0 0
139747.243072500 0 0
